>>>>>>>>>> Start item : ../data/Leeds.mp4
::: Run time Settings : {'Config load': 1, 'Config update': {'General': 1, 'Visualizer': 1, 'Figure': 1, 'Heatmap': 1, 'System': 1, 'Calibration': 0, 'Detector': 1}, 'Config save': 1}
:::::: Start File Checking ...
:: Loading Data and Configrations ...
: Background Found.
: Satellite Map Found.
: Visual Map Found.
: Road Mask Found.
: Road Boarder Found.
::: Camera size : (1920, 1080), Region of Interest : (1920, 1080),  Environment size :(1028, 1048)

 <<< Model is running on CUDA GPU >>> 

::: Configration Saved.
type: person vehicle id: 16 position: 160 466
type: car vehicle id: 15 position: 462 21
type: person vehicle id: 14 position: 1281 281
type: car vehicle id: 12 position: 1631 244
type: person vehicle id: 11 position: 1489 356
type: person vehicle id: 10 position: 177 244
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 8 position: 870 90
type: person vehicle id: 7 position: 429 244
type: person vehicle id: 6 position: 375 173
type: person vehicle id: 3 position: 1351 286
type: person vehicle id: 49 position: 1310 272
type: person vehicle id: 48 position: 1140 229
type: person vehicle id: 45 position: 1877 476
type: car vehicle id: 43 position: 1864 629
type: person vehicle id: 42 position: 362 325
type: car vehicle id: 39 position: 1401 186
type: car vehicle id: 38 position: 800 137
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 732 881
type: person vehicle id: 35 position: 513 539
type: person vehicle id: 34 position: 528 411
type: car vehicle id: 33 position: 934 180
type: car vehicle id: 32 position: 592 11
type: car vehicle id: 31 position: 573 70
type: person vehicle id: 30 position: 698 524
type: car vehicle id: 29 position: 692 71
type: person vehicle id: 28 position: 424 312
type: car vehicle id: 27 position: 779 229
type: person vehicle id: 26 position: 695 858
type: person vehicle id: 25 position: 385 318
type: person vehicle id: 23 position: 286 311
type: person vehicle id: 22 position: 336 331
type: person vehicle id: 20 position: 1382 297
type: person vehicle id: 19 position: 111 513
type: car vehicle id: 18 position: 35 122
type: car vehicle id: 17 position: 1854 327
type: person vehicle id: 16 position: 161 466
type: car vehicle id: 15 position: 462 21
type: person vehicle id: 14 position: 1282 282
type: car vehicle id: 12 position: 1631 244
type: person vehicle id: 11 position: 1489 357
type: person vehicle id: 10 position: 177 244
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 7 position: 429 235
type: person vehicle id: 6 position: 376 173
type: person vehicle id: 3 position: 1349 285
type: person vehicle id: 53 position: 550 522
type: person vehicle id: 49 position: 1310 272
type: person vehicle id: 48 position: 1141 229
type: person vehicle id: 45 position: 1878 477
type: car vehicle id: 43 position: 1866 631
type: person vehicle id: 42 position: 362 324
type: car vehicle id: 39 position: 1401 186
type: car vehicle id: 38 position: 801 137
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 732 882
type: person vehicle id: 35 position: 512 538
type: person vehicle id: 34 position: 528 411
type: car vehicle id: 33 position: 934 180
type: car vehicle id: 32 position: 592 11
type: car vehicle id: 31 position: 574 69
type: person vehicle id: 30 position: 698 524
type: car vehicle id: 29 position: 693 71
type: person vehicle id: 28 position: 424 312
type: car vehicle id: 27 position: 778 230
type: person vehicle id: 26 position: 695 858
type: person vehicle id: 25 position: 387 318
type: person vehicle id: 23 position: 286 311
type: person vehicle id: 22 position: 336 331
